iter	Passed	Remaining
410	4182	5994
411	4192	5983
412	4201	5971
413	4210	5959
414	4219	5948
415	4229	5936
416	4238	5925
417	4247	5914
418	4256	5902
419	4266	5891
420	4275	5880
421	4284	5868
422	4293	5856
423	4302	5844
424	4312	5833
425	4321	5822
426	4330	5811
427	4339	5799
428	4349	5788
429	4358	5778
430	4368	5767
431	4377	5755
432	4385	5742
433	4394	5731
434	4403	5719
435	4412	5708
436	4421	5696
437	4430	5685
438	4440	5674
439	4449	5663
440	4459	5653
441	4469	5642
442	4478	5631
443	4488	5620
444	4497	5609
445	4507	5598
446	4516	5587
447	4525	5576
448	4536	5566
449	4545	5555
450	4555	5545
451	4565	5535
452	4575	5524
453	4584	5513
454	4594	5502
455	4603	5491
456	4612	5480
457	4622	5469
458	4631	5458
459	4640	5447
460	4650	5437
461	4659	5426
462	4669	5415
463	4679	5405
464	4688	5394
465	4698	5383
466	4707	5372
467	4716	5361
468	4725	5350
469	4734	5338
470	4744	5328
471	4753	5317
472	4762	5306
473	4772	5295
474	4781	5284
475	4790	5274
476	4800	5263
477	4809	5252
478	4819	5241
479	4827	5230
480	4837	5219
481	4846	5208
482	4855	5197
483	4864	5186
484	4874	5176
485	4884	5166
486	4898	5160
487	4908	5149
488	4917	5138
489	4926	5127
490	4935	5116
491	4946	5107
492	4959	5100
493	4973	5094
494	4985	5086
495	4997	5078
496	5010	5070
497	5023	5063
498	5037	5057
499	5050	5050
500	5066	5046
501	5090	5049
502	5116	5055
503	5133	5052
504	5145	5043
505	5158	5035
506	5170	5027
507	5182	5019
508	5200	5016
509	5212	5008
510	5225	5000
511	5239	4993
512	5251	4985
513	5264	4977
514	5274	4966
515	5282	4955
516	5291	4943
517	5301	4932
518	5310	4921
519	5319	4910
520	5329	4899
521	5338	4888
522	5347	4877
523	5357	4866
524	5367	4856
525	5376	4845
526	5385	4833
527	5394	4822
528	5404	4811
529	5414	4801
530	5423	4790
531	5432	4779
532	5442	4768
533	5454	4759
534	5465	4750
535	5474	4739
536	5483	4728
537	5493	4717
538	5502	4706
539	5511	4695
540	5521	4684
541	5531	4674
542	5540	4663
543	5551	4653
544	5564	4645
545	5577	4637
546	5590	4629
