,precision,recall,f1-score,support
0,0.9731236242277924,0.9972711395721147,0.9850494159928123,27484.0
1,0.9591057797164667,0.6991255961844197,0.8087356321839081,2516.0
accuracy,0.9722666666666666,0.9722666666666666,0.9722666666666666,0.9722666666666666
macro avg,0.9661147019721296,0.8481983678782672,0.8968925240883602,30000.0
weighted avg,0.9719479943347759,0.9722666666666666,0.9702625666573721,30000.0
