,precision,recall,f1-score,support
0,0.9727004863502432,0.9969436763207684,0.9846728837618817,27484.0
1,0.9541234298197706,0.6943561208267091,0.8037727168161951,2516.0
accuracy,0.9715666666666667,0.9715666666666667,0.9715666666666667,0.9715666666666667
macro avg,0.9634119580850069,0.8456498985737387,0.8942228002890384,30000.0
weighted avg,0.9711424905425543,0.9715666666666667,0.9695013897607034,30000.0
