,precision,recall,f1-score,support
0,0.9717118073995398,0.9986173773832048,0.9849808896624738,27484.0
1,0.9783475783475784,0.6824324324324325,0.8040271599157106,2516.0
accuracy,0.9721,0.9721,0.9721,0.9721
macro avg,0.9750296928735591,0.8405249049078186,0.8945040247890922,30000.0
weighted avg,0.9722683273897152,0.9721,0.9698049035277119,30000.0
