,precision,recall,f1-score,support
0,0.961991584852735,0.9982535293261534,0.9797871580601386,27484.0
1,0.9675675675675676,0.5691573926868044,0.7167167167167167,2516.0
accuracy,0.9622666666666667,0.9622666666666667,0.9622666666666667,0.9622666666666667
macro avg,0.9647795762101512,0.7837054610064789,0.8482519373884276,30000.0
weighted avg,0.962459223936419,0.9622666666666667,0.957724317046137,30000.0
