,precision,recall,f1-score,support
0,0.9989144201194138,0.20088051229806433,0.33449456241858777,27484.0
1,0.10256200710987619,0.9976152623211447,0.1860017043980881,2516.0
accuracy,0.2677,0.2677,0.2677,0.2677
macro avg,0.550738213614645,0.5992478873096045,0.26024813340833797,30000.0
weighted avg,0.9237403310816805,0.2677,0.32204096139260185,30000.0
